relative_path,status,size_mb,sample_rows,estimated_rows_if_small,n_columns,label_col
datasets/madhavmalhotra/unb-cic-iot-dataset/wataiData/csv/CICIoT2023/part-00016-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,ok,65.434,5000,232885,47,label
datasets/madhavmalhotra/unb-cic-iot-dataset/wataiData/csv/CICIoT2023/part-00017-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,ok,62.763,5000,223444,47,label
datasets/madhavmalhotra/unb-cic-iot-dataset/wataiData/csv/CICIoT2023/part-00018-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,ok,65.853,5000,234430,47,label
datasets/madhavmalhotra/unb-cic-iot-dataset/wataiData/csv/CICIoT2023/part-00019-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,ok,64.921,5000,231063,47,label
datasets/madhavmalhotra/unb-cic-iot-dataset/wataiData/csv/CICIoT2023/part-00020-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,ok,66.628,5000,237151,47,label
datasets/madhavmalhotra/unb-cic-iot-dataset/wataiData/csv/CICIoT2023/part-00021-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,ok,62.748,5000,223401,47,label
datasets/madhavmalhotra/unb-cic-iot-dataset/wataiData/csv/CICIoT2023/part-00022-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,ok,70.855,5000,252212,47,label
datasets/madhavmalhotra/unb-cic-iot-dataset/wataiData/csv/CICIoT2023/part-00023-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,ok,73.637,5000,262062,47,label
datasets/madhavmalhotra/unb-cic-iot-dataset/wataiData/csv/CICIoT2023/part-00024-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,ok,63.412,5000,225725,47,label
datasets/madhavmalhotra/unb-cic-iot-dataset/wataiData/csv/CICIoT2023/part-00025-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,ok,125.755,5000,447625,47,label
datasets/madhavmalhotra/unb-cic-iot-dataset/wataiData/csv/CICIoT2023/part-00026-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,ok,66.387,5000,236152,47,label
datasets/madhavmalhotra/unb-cic-iot-dataset/wataiData/csv/CICIoT2023/part-00027-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,ok,62.142,5000,221014,47,label
datasets/madhavmalhotra/unb-cic-iot-dataset/wataiData/csv/CICIoT2023/part-00028-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,ok,70.608,5000,251225,47,label
datasets/madhavmalhotra/unb-cic-iot-dataset/wataiData/csv/CICIoT2023/part-00029-363d1ba3-8ab5-4f96-bc25-4d5862db7cb9-c000.csv,ok,70.7,5000,251676,47,label
